Last Name,First Name,Program,section,Username
LNAME1,FNAME1,IT,BM7,email1@mymail.mapua.edu.ph
LNAME2,FNAME2,CS,BM7,email2@mymail.mapua.edu.ph
LNAME3,FNAME3,IS,BM7,email3@mymail.mapua.edu.ph
LNAME4,FNAME4,EMC,BM7,email4@mymail.mapua.edu.ph
LNAME5,FNAME5,IT,BM7,email5@mymail.mapua.edu.ph
LNAME6,FNAME6,CS,BM7,email6@mymail.mapua.edu.ph
LNAME7,FNAME7,IS,BM7,email7@mymail.mapua.edu.ph
LNAME8,FNAME8,EMC,BM7,email8@mymail.mapua.edu.ph
LNAME9,FNAME9,IT,BM7,email9@mymail.mapua.edu.ph
LNAME10,FNAME10,CS,BM7,email10@mymail.mapua.edu.ph
LNAME11,FNAME11,IS,BM7,email11@mymail.mapua.edu.ph
LNAME12,FNAME12,EMC,BM7,email12@mymail.mapua.edu.ph
LNAME13,FNAME13,IT,BM7,email13@mymail.mapua.edu.ph
LNAME14,FNAME14,CS,BM7,email14@mymail.mapua.edu.ph
LNAME15,FNAME15,IS,BM7,email15@mymail.mapua.edu.ph
LNAME16,FNAME16,EMC,BM7,email16@mymail.mapua.edu.ph
LNAME17,FNAME17,IT,BM7,email17@mymail.mapua.edu.ph
LNAME18,FNAME18,CS,BM7,email18@mymail.mapua.edu.ph
LNAME19,FNAME19,IS,BM7,email19@mymail.mapua.edu.ph
LNAME20,FNAME20,EMC,BM7,email20@mymail.mapua.edu.ph
LNAME21,FNAME21,IT,BM7,email21@mymail.mapua.edu.ph
LNAME22,FNAME22,CS,BM7,email22@mymail.mapua.edu.ph
LNAME23,FNAME23,IS,BM7,email23@mymail.mapua.edu.ph
LNAME24,FNAME24,EMC,BM7,email24@mymail.mapua.edu.ph
LNAME25,FNAME25,IT,BM7,email25@mymail.mapua.edu.ph
LNAME26,FNAME26,CS,BM7,email26@mymail.mapua.edu.ph
LNAME27,FNAME27,IS,BM7,email27@mymail.mapua.edu.ph
LNAME28,FNAME28,EMC,BM7,email28@mymail.mapua.edu.ph
LNAME29,FNAME29,IT,BM7,email29@mymail.mapua.edu.ph
LNAME30,FNAME30,CS,BM7,email30@mymail.mapua.edu.ph
LNAME31,FNAME31,IS,BM7,email31@mymail.mapua.edu.ph
LNAME32,FNAME32,EMC,BM7,email32@mymail.mapua.edu.ph
LNAME33,FNAME33,IT,BM7,email33@mymail.mapua.edu.ph
LNAME34,FNAME34,CS,BM7,email34@mymail.mapua.edu.ph
LNAME35,FNAME35,IS,BM7,email35@mymail.mapua.edu.ph
LNAME36,FNAME36,EMC,BM7,email36@mymail.mapua.edu.ph
LNAME37,FNAME37,IT,BM7,email37@mymail.mapua.edu.ph
LNAME38,FNAME38,CS,BM7,email38@mymail.mapua.edu.ph
LNAME39,FNAME39,IS,BM7,email39@mymail.mapua.edu.ph
LNAME40,FNAME40,EMC,BM7,email40@mymail.mapua.edu.ph
LNAME41,FNAME41,IT,BM7,email41@mymail.mapua.edu.ph
LNAME42,FNAME42,CS,BM7,email42@mymail.mapua.edu.ph
LNAME43,FNAME43,IS,BM7,email43@mymail.mapua.edu.ph
LNAME44,FNAME44,EMC,BM7,email44@mymail.mapua.edu.ph
LNAME45,FNAME45,IT,BM7,email45@mymail.mapua.edu.ph
LNAME46,FNAME46,CS,BM7,email46@mymail.mapua.edu.ph
LNAME47,FNAME47,IS,BM7,email47@mymail.mapua.edu.ph
LNAME48,FNAME48,EMC,BM7,email48@mymail.mapua.edu.ph
LNAME49,FNAME49,IT,BM7,email49@mymail.mapua.edu.ph
LNAME50,FNAME50,CS,BM7,email50@mymail.mapua.edu.ph
LNAME51,FNAME51,IS,BM7,email51@mymail.mapua.edu.ph
LNAME52,FNAME52,EMC,BM7,email52@mymail.mapua.edu.ph
LNAME53,FNAME53,IT,BM7,email53@mymail.mapua.edu.ph
