Last Name,First Name,Program,Username
LNAME1,FNAME1,IT,email1@mymail.mapua.edu.ph
LNAME2,FNAME2,CS,email2@mymail.mapua.edu.ph
LNAME3,FNAME3,IS,email3@mymail.mapua.edu.ph
LNAME4,FNAME4,EMC,email4@mymail.mapua.edu.ph
LNAME5,FNAME5,IT,email5@mymail.mapua.edu.ph
LNAME6,FNAME6,CS,email6@mymail.mapua.edu.ph
LNAME7,FNAME7,IS,email7@mymail.mapua.edu.ph
LNAME8,FNAME8,EMC,email8@mymail.mapua.edu.ph
LNAME9,FNAME9,IT,email9@mymail.mapua.edu.ph
LNAME10,FNAME10,CS,email10@mymail.mapua.edu.ph
LNAME11,FNAME11,IS,email11@mymail.mapua.edu.ph
LNAME12,FNAME12,EMC,email12@mymail.mapua.edu.ph
LNAME13,FNAME13,IT,email13@mymail.mapua.edu.ph
LNAME14,FNAME14,CS,email14@mymail.mapua.edu.ph
LNAME15,FNAME15,IS,email15@mymail.mapua.edu.ph
LNAME16,FNAME16,EMC,email16@mymail.mapua.edu.ph
LNAME17,FNAME17,IT,email17@mymail.mapua.edu.ph
LNAME18,FNAME18,CS,email18@mymail.mapua.edu.ph
LNAME19,FNAME19,IS,email19@mymail.mapua.edu.ph
LNAME20,FNAME20,EMC,email20@mymail.mapua.edu.ph
LNAME21,FNAME21,IT,email21@mymail.mapua.edu.ph
LNAME22,FNAME22,CS,email22@mymail.mapua.edu.ph
LNAME23,FNAME23,IS,email23@mymail.mapua.edu.ph
LNAME24,FNAME24,EMC,email24@mymail.mapua.edu.ph
LNAME25,FNAME25,IT,email25@mymail.mapua.edu.ph
LNAME26,FNAME26,CS,email26@mymail.mapua.edu.ph
LNAME27,FNAME27,IS,email27@mymail.mapua.edu.ph
LNAME28,FNAME28,EMC,email28@mymail.mapua.edu.ph
LNAME29,FNAME29,IT,email29@mymail.mapua.edu.ph
LNAME30,FNAME30,CS,email30@mymail.mapua.edu.ph
LNAME31,FNAME31,IS,email31@mymail.mapua.edu.ph
LNAME32,FNAME32,EMC,email32@mymail.mapua.edu.ph
LNAME33,FNAME33,IT,email33@mymail.mapua.edu.ph
LNAME34,FNAME34,CS,email34@mymail.mapua.edu.ph
LNAME35,FNAME35,IS,email35@mymail.mapua.edu.ph
LNAME36,FNAME36,EMC,email36@mymail.mapua.edu.ph
LNAME37,FNAME37,IT,email37@mymail.mapua.edu.ph
LNAME38,FNAME38,CS,email38@mymail.mapua.edu.ph
LNAME39,FNAME39,IS,email39@mymail.mapua.edu.ph
LNAME40,FNAME40,EMC,email40@mymail.mapua.edu.ph
LNAME41,FNAME41,IT,email41@mymail.mapua.edu.ph
LNAME42,FNAME42,CS,email42@mymail.mapua.edu.ph
LNAME43,FNAME43,IS,email43@mymail.mapua.edu.ph
LNAME44,FNAME44,EMC,email44@mymail.mapua.edu.ph
LNAME45,FNAME45,IT,email45@mymail.mapua.edu.ph
LNAME46,FNAME46,CS,email46@mymail.mapua.edu.ph
LNAME47,FNAME47,IS,email47@mymail.mapua.edu.ph
LNAME48,FNAME48,EMC,email48@mymail.mapua.edu.ph
LNAME49,FNAME49,IT,email49@mymail.mapua.edu.ph
LNAME50,FNAME50,CS,email50@mymail.mapua.edu.ph
LNAME51,FNAME51,IS,email51@mymail.mapua.edu.ph
LNAME52,FNAME52,EMC,email52@mymail.mapua.edu.ph
LNAME53,FNAME53,IT,email53@mymail.mapua.edu.ph
